bus,feeder_id
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
54,1
85,1
129,1
131,1
133,1
140,1
144,1
153,1
155,1
157,1
159,1
167,1
168,1
169,1
171,1
172,1
176,1
178,1
181,1
184,1
186,1
188,1
197,1
198,1
199,1
200,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
248,1
253,1
271,1
273,1
275,1
281,1
285,1
286,1
287,1
288,1
290,1
298,1
301,1
303,1
304,1
305,1
312,1
313,1
314,1
315,1
316,1
318,1
319,1
29,2
30,2
31,2
33,2
40,2
72,2
74,2
75,2
101,2
103,2
104,2
106,2
108,2
109,2
110,2
111,2
116,2
126,2
136,2
138,2
141,2
147,2
149,2
170,2
194,2
195,2
196,2
201,2
205,2
207,2
210,2
213,2
215,2
216,2
219,2
221,2
236,2
237,2
238,2
239,2
247,2
269,2
289,2
317,2
35,3
37,3
38,3
39,3
41,3
43,3
58,3
71,3
73,3
77,3
78,3
81,3
83,3
86,3
94,3
95,3
98,3
100,3
102,3
107,3
132,3
134,3
137,3
142,3
161,3
162,3
173,3
174,3
223,3
224,3
227,3
229,3
231,3
235,3
32,4
34,4
36,4
42,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
55,4
56,4
57,4
64,4
65,4
76,4
79,4
80,4
82,4
84,4
117,4
118,4
119,4
120,4
143,4
145,4
146,4
148,4
150,4
189,4
190,4
192,4
